name,email,email_lifekids,timezone,phone,street_1,street_2,street_3,city,state,postalcode,country,gmap_addr,lat,lng,office_street_1,office_street_2,office_street_3,office_city,office_state,office_postalcode,office_country,gmap_addr_office,office_lat,office_lng,physical,facebook_id,slug
Albany,albany@lifechurch.tv,alb.lifekids@lifechurch.tv,US/Eastern,518-456-0969,560 Sand Creek Rd,,,Albany,NY,12205,US,"http://maps.google.com/maps?f=q&hl=en&q=560+Sand+Creek+Rd,+Albany,+NY+12205&sll=35.54882,-97.617253&sspn=0.006407,0.010042&layer=&safe=vss&ie=UTF8&om=1&iwloc=near&amp;z=11",42.7239,-73.8216,,,,,,,,,0,0,1,198238577847,alb
Edmond,edmond@lifechurch.tv,edm.lifekids@lifechurch.tv,US/Central,405-688-5433,4600 E. 2nd St,,,Edmond,OK,73034,US,"http://maps.google.com/maps?f=q&hl=en&q=4600+E.+2nd+St,+Edmond,+OK+73034&sll=36.303079,-86.6408&sspn=0.006346,0.013561&layer=&safe=vss&ie=UTF8&z=11&om=1&iwloc=near",35.6527,-97.419,,,,,,,,,0,0,1,206643266075,edm
Fort Worth,fortworth@lifechurch.tv,ftw.lifekids@lifechurch.tv,US/Central,817-923-5433,5298 Trail Lake Dr,,,Fort Worth,TX,76133,US,"http://maps.google.com/maps?f=q&hl=en&geocode=&time=&date=&ttype=&q=5298+Trail+Lake+Dr,+Fort+Worth,+TX+76133&sll=32.653079,-97.420921&sspn=0.005465,0.011759&safe=vss&ie=UTF8&ll=32.669735,-97.383016&spn=0.005464,0.011759&z=11&iwloc=near&om=1",32.6697,-97.3824,,,,,,,,,0,0,1,236157182628,ftw
Hendersonville,hendersonville@lifechurch.tv,hnv.lifekids@lifechurch.tv,US/Central,615-338-7241,120 Indian Lake Blvd,,,hendersonville,TN,37075,US,"http://maps.google.com/maps?f=q&hl=en&q=120+indian+lake+blvd,+hendersonville+tn+37075&sll=36.309432,-86.604578&sspn=50.644639,82.265625&layer=&safe=vss&ie=UTF8&z=15&om=1&iwloc=near",36.303,-86.6403,,,,,,,,,0,0,1,121921428281,hnv
Church Online,churchonline@lifechurch.tv,,US/Central,405-680-5433,,,,,,,,,0,0,4600 E. 2nd St,,,Edmond,OK,73034,US,"http://maps.google.com/maps?f=q&hl=en&q=4600+E.+2nd+St,+Edmond,+OK+73034&sll=36.303079,-86.6408&sspn=0.006346,0.013561&layer=&safe=vss&ie=UTF8&z=17&om=1&iwloc=addr",0,0,0,,int
NW Oklahoma City,nwoklahomacity@lifechurch.tv,noc.lifekids@lifechurch.tv,US/Central,405-748-5433,5821 NW Expressway St,,,Oklahoma City,OK,73132,US,"http://maps.google.com/maps?f=q&hl=en&q=5821+Northwest+Expressway,+Oklahoma+City,+OK+73132&layer=&sll=35.510431,-97.498856&sspn=0.410259,0.6427&safe=vss&ie=UTF8&z=11&om=1&iwloc=near",35.5478,-97.6152,,,,,,,,,0,0,1,156898983627,noc
Oklahoma City,oklahomacity@lifechurch.tv,okc.lifekids@lifechurch.tv,US/Central,405-478-5433,2001 NW 178th St,,,Edmond,OK,73012,US,"http://maps.google.com/maps?f=q&hl=en&q=2001+NW+178th+St,+Edmond,+OK+73003&sll=37.0625,-95.677068&sspn=50.644639,82.265625&layer=&safe=vss&ie=UTF8&z=11&om=1&iwloc=near",35.6531,-97.5484,,,,,,,,,0,0,1,284153305483,okc
South Oklahoma City,southokc@lifechurch.tv,soc.lifekids@lifechurch.tv,US/Central,405-216-5433,7800 S. Walker Ave,,,Oklahoma City,OK,73139,US,"http://maps.google.com/maps?f=q&hl=en&q=7800+S.+Walker+Ave,+Oklahoma+City,+OK+73139&sll=35.65305,-97.545878&sspn=0.006399,0.010042&layer=&safe=vss&ie=UTF8&z=11&om=1&iwloc=near",35.3892,-97.5214,,,,,,,,,0,0,1,152357570862,soc
South Tulsa,southtulsa@lifechurch.tv,sto.lifekids@lifechurch.tv,US/Central,918-938-0900,7071 East 121st St,,,Bixby,OK,74008,US,"http://maps.google.com/maps?f=q&hl=en&geocode=&time=&date=&ttype=&q=7101+E.+121st+Street+South,+Bixby,+OK&sll=35.988494,-95.897856&sspn=0.044517,0.076733&safe=vss&ie=UTF8&t=p&z=11&iwloc=near&om=1",35.9883,-95.899,,,,,,,,,0,0,1,168831606831,sto
Stillwater,stillwater@lifechurch.tv,stw.lifekids@lifechurch.tv,US/Central,405-624-5433,1917 North Country Club Rd,,,Stillwater,OK,74075,US,"http://maps.google.com/maps?f=q&hl=en&q=1917+North+Country+Club+Rd,+Stillwater,+OK+74075&sll=33.379235,-111.744863&sspn=0.006576,0.013561&layer=&safe=vss&ie=UTF8&z=11&om=1&iwloc=near",36.1411,-97.1232,,,,,,,,,0,0,1,111614742192203,stw
Tulsa,tulsa@lifechurch.tv,tul.lifekids@lifechurch.tv,US/Central,918-459-5433,7015 E. 41st St,,,Tulsa,OK,74145,US,"http://maps.google.com/maps?f=q&hl=en&q=7015+E.+41st+St,+Tulsa,+OK+74145&layer=&sll=36.104394,-95.898812&sspn=0.006363,0.013561&safe=vss&ie=UTF8&z=11&om=1&iwloc=near",36.1043,-95.8987,,,,,,,,,0,0,1,111300269668,tul
Wellington,wellington@lifechurch.tv,wel.lifekids@lifechurch.tv,US/Eastern,561-793-6889,Palm Beach Central High School,8499 Forest Hill Blvd,,West Palm Beach,FL,33411,US,"http://www.google.com/maps?f=q&hl=en&q=8499+forest+hill+blvd,+fl&sll=37.0625,-95.677068&sspn=36.999937,58.974609&safe=vss&ie=UTF8&z=11&om=1&iwloc=near",26.6507,-80.1854,"3125 Fortune Way, Suite 13",,,Wellington,FL,33414,,"http://www.google.com/maps?f=q&hl=en&q=8499+forest+hill+blvd,+fl&sll=37.0625,-95.677068&sspn=36.999937,58.974609&safe=vss&ie=UTF8&z=16&om=1&iwloc=addr",26.6352,-80.2268,1,105749019464173,wel
Central,info@lifechurch.tv,,US/Central,405-680-5433,120 indian lake blvd,,,hendersonville,,,US,,0,0,4600 E. 2nd St,,,Edmond,OK,73034,US,"http://maps.google.com/maps?f=q&hl=en&q=4600+E.+2nd+St,+Edmond,+OK+73034&sll=36.303079,-86.6408&sspn=0.006346,0.013561&layer=&safe=vss&ie=UTF8&z=17&om=1&iwloc=addr",35.6527,-97.419,1,,cen
LifeChurch.tv,,,,,120 indian lake blvd,,,hendersonville,,,,,0,0,,,,,,,,,0,0,false,,www
Owasso,owasso@lifechurch.tv,ows.lifekids@lifechurch.tv,US/Central,918-272-4393,Barnes Elementary School,7809 E 76th St,,Owasso,OK,74055,,"http://maps.google.com/maps?hl=en&ie=UTF-8&q=7809+E+76th+St+Owasso,+OK+74055&fb=1&cid=9292650604640300504&li=lmd&z=11&t=m&iwloc=near",36.2641,-95.8862,7770 W Owasso Expressway Unit 125,,,Owasso,OK,74055,,,0,0,1,136945189263,ows
Yukon,yukon@lifechurch.tv,ykn.lifekids@lifechurch.tv,,405-605-5433,1101 E Main Street,,,Yukon,OK,73099,US,"http://maps.google.com/maps?hl=en&source=hp&q=1101+E+Main+Street+Yukon,OK+73099&oq=&um=1&ie=UTF-8&hq=&hnear=1101+E+Main+St,+Yukon,+OK+73099&gl=us&z=11&t=m&iwloc=near",35.5079,-97.7246,,,,,,,,,0,0,1,310515131268,ykn
